Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	t-SNE X	t-SNE Y	t-SNE Z	InChIKey	Total Molweight	Molweight	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	LE from pKa	LLE from pKa	LELP from pKa	Mutagenic	Tumorigenic	Reproductive Effective	Irritant	Nasty Functions	Shape Index	Molecular Flexibility	Molecular Complexity	Fragments	Non-H Atoms	Non-C/H Atoms	Metal-Atoms	Electronegative Atoms	Stereo Centers	Rotatable Bonds	Rings Closures	Small Rings	Aromatic Rings	Aromatic Atoms	sp3-Atoms	Symmetric atoms	Amides	Amines	Alkyl-Amines	Aromatic Amines	Aromatic Nitrogens	Basic Nitrogens	Acidic Oxygens	Stereo Configuration	Gini Selectivity Score	
daD@P@BNdDfUzZ@B@@	6.35	32	mean from 2	a1/apparent	SH	acidic	1		0		0.029537478	-0.6880023	16.94528821437045	15.966655126053693	6.572861265620643	OKIHXNKYYGUVTE-UHFFFAOYSA-N	128.170	128.170	128.009598	1.7014	-3.036	0	0	95.47	0.23683	38.8	-5.9031	1.4057	6.4958	1.2104	none	none	none	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.88839	
daD@P@bFBDfUjz@H@@	5.76	25	mean from 2	a1/apparent	SH	acidic	2	1	1	3	0.8059224	0.16480407	8.782315065985907	24.312136673960747	-8.871857232421103	CQJDYPZUDYXHLM-UHFFFAOYSA-N	144.625	144.625	143.980047	2.2066	-3.458	0	0	104.54	0.21628	38.8	-4.3269	1.413	6.033	1.5617	none	none	none	none		0.625	0	0.62123	1	8	2	0	2	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0		0.91646	
daD@P@bNBDfUzZ@B@@	5.82	25	mean from 2	a1/apparent		acidic	3	1	1	2	0.811518	0.18584521	8.740981046629713	24.31787364296013	-8.847658272836211	VZXOZSQDJJNBRC-UHFFFAOYSA-N	144.625	144.625	143.980047	2.2066	-3.458	0	0	104.54	0.21628	38.8	-4.3269	1.4122	6.0285	1.5625	none	high	none	high		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.9134	
daD@P@qNBDfUzZ@B@@	5.8	40		a1/apparent	SH	acidic	4		0		0.59487987	0.7636232	16.875361916791093	15.888755963935035	6.488876420445173	FTBCOQFMQSTCQQ-UHFFFAOYSA-N	189.076	189.076	187.929531	2.3258	-3.556	0	0	107.75	0.20984	38.8	-6.3531	1.4124	5.9108	1.6466	none	none	none	none		0.75	0	0.59947	1	8	2	0	2	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0		0.8948	
daD@`@BDeeVz`@@@	9.43	25	spectrophotometric	a1/apparent	S-H	acidic	5		0		-0.9300643	-0.26378343	8.165768535491475	15.744153876700485	5.343041732801751	UENWRTRMUIOCKN-UHFFFAOYSA-N	124.207	124.207	124.034670	1.8972	-2.99	0	0	102.88	0.21977	38.8	-6.3177	1.3763	6.1283	1.3785	none	high	none	high		0.75	0.30873	0.54931	1	8	1	0	1	0	1	1	1	1	6	2	2	0	0	0	0	0	0	0		0.88717	
daD@`@BDfUzZ@B@@	6.47	25	mean from 2	a1/apparent		acidic	6	1	1	7764	-0.28325117	-0.8429449	16.683223391340675	15.85518711195835	6.541288914641392	WLHCBQAPPJAULW-UHFFFAOYSA-N	124.207	124.207	124.034670	1.9445	-3.066	0	0	101.38	0.22302	38.8	-4.6329	1.4043	6.2446	1.3847	none	none	none	none		0.75	0	0.59947	1	8	1	0	1	0	0	1	1	1	6	2	2	0	0	0	0	0	0	0		0.96893	
daDB@@RnrJIPdsUM@@	4.4	25	potentiometric	a2/apparent		acidic	7		0		-0.3621069	-0.90820545	-16.2104699509178	-9.724083540979958	-8.464710770793486	QGLKIVPNOUPWOW-UHFFFAOYSA-N	116.072	116.072	116.010960	-1.2952	-0.607	4	2	77.13	0.6384	66.76	-0.35696	1.433	9.6517	-0.90382	none	none	none	none		0.625	0	0.77276	1	8	4	0	4	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0		1.007	
daDD@@IIfZfZZh@@	9.6	20	potentiometric	a/apparent		acidic	8	1	1	2766	0.64777553	0.30208457	-9.4735467599297	15.62320992058778	-2.3450511124781577	OACYKCIZDVVNJL-UHFFFAOYSA-N	112.128	112.128	112.052430	0.5625	-1.344	2	0	87.78	0.29711	34.14	-5.2038	1.3749	7.4552	0.40911	none	none	none	none		0.625	0	0.65976	1	8	2	0	2	1	0	1	1	0	0	4	0	0	0	0	0	0	0	0	unknown chirality	0.96477	
daDD@@IIfZfifh@@	9.11	30	potentiometric	a1/apparent	OH	acidic	9		0		0.2987259	-0.8679652	-7.503848034034313	0.6514327327521987	-14.41922871532581	NTDHIBNPPBGCPS-UHFFFAOYSA-N	112.128	112.128	112.052430	0.5998	-1.41	2	2	86.35	0.30342	40.46	-0.87661	1.3788	7.4407	0.43501	none	none	none	none		0.625	0	0.74893	1	8	2	0	2	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0		0.96375	
daDD@@IIf]nZZh@@	10.3	20	potentiometric	a/apparent		acidic	10	1	1	7765	0.4355898	-0.15002398	-7.55561405070063	15.650442044656653	-2.5515914136256947	OILAIQUEIWYQPH-UHFFFAOYSA-N	112.128	112.128	112.052430	0.6352	-1.454	2	0	90.54	0.28805	34.14	-13.941	1.3697	7.352	0.46376	high	none	high	none		0.625	0.18718	0.59947	1	8	2	0	2	0	0	1	1	0	0	4	4	0	0	0	0	0	0	0		0.97458	
